orderID,customerID,customerFirstName,customerLastName,productID,productName,qty,totalPrice,dateofOrder,status,address
1,700,Page,Foskett,798,lectus,8,4168,4/29/2022 2:07,Delivered,252 Dakota Plaza
2,561,Faye,Delamar,675,sit,2,1050,12/18/2021 15:03,Delivered,1 Duke Park
3,657,Nannette,Mussettini,111,ipsum,3,303,11/2/2021 7:44,Delivered,81 Meadow Valley Way
4,260,Dinnie,Waddicor,248,leo rhoncus,9,4419,12/27/2021 0:33,Delivered,289 Reindahl Terrace
5,820,Ring,Youthed,402,feugiat non pretium,2,1548,4/11/2022 2:26,Delivered,67336 Evergreen Park
6,603,Werner,Onthank,64,proin interdum mauris,5,1350,3/10/2022 7:21,Delivered,710 Springs Crossing
7,918,Duncan,Cornillot,429,ullamcorper,4,2012,3/14/2022 11:23,Delivered,55092 6th Terrace
8,423,Terrill,Doog,265,duis at,1,313,3/7/2022 8:25,Pending,4233 Luster Junction
9,537,Paulette,Maro,943,mauris non ligula,9,1332,11/25/2021 20:32,Delivered,846 Riverside Pass
10,507,Delmer,Mundford,495,rutrum,4,420,8/11/2021 18:28,Delivered,86292 Southridge Park
11,502,Lindy,Varley,75,cursus urna ut,2,1736,12/23/2021 5:38,Delivered,2532 Bultman Point
12,696,Stuart,Rhymes,46,aliquam convallis nunc,7,6965,6/17/2022 23:43,Delivered,9548 Buena Vista Lane
13,812,Daniela,Brough,261,pulvinar,9,5940,1/20/2022 23:51,Unshipped,88155 Hollow Ridge Avenue
14,312,Kiele,Brodhead,577,erat curabitur gravida,6,2634,7/16/2021 7:34,Unshipped,29 Nevada Center
15,484,Timmi,Dorgon,690,venenatis,2,1298,7/7/2022 17:25,Pending,2 Nelson Plaza
16,811,Willey,Ring,854,ac leo pellentesque,2,1164,4/15/2022 15:20,Delivered,6 Bay Circle
17,781,Woodman,Hitzke,978,magna bibendum,4,2896,6/3/2021 12:04,Pre-Shipment,1 Eagan Parkway
18,398,Andrus,Carlett,963,dapibus at diam,1,604,8/10/2021 12:38,Delivered,352 Forest Dale Road
19,242,Felicle,Hulle,728,cubilia curae,5,3615,10/4/2021 11:46,Delivered,8705 Oak Trail
20,709,Sandy,Maass,905,urna,2,1076,12/2/2021 11:58,Pending,667 Novick Place
21,284,Illa,Fucher,667,nisl venenatis lacinia,9,7785,4/11/2022 10:29,Delivered,6 Hintze Junction
