TicketID,CustID,OrderID,ProductName,ProductCategory,CustFirstName,CustPhone,Status,IssueCategory,Issue,DateOpened,DateClosed,HoursTaken,FirstResponseTime,Replies,CustomerSatisfaction(%)
1,8,425,diam cras,Garden & Outdoor,Jesse,+1 214 173 4838,Open,Received the wrong product,Vivamus tortor.,20:00.0,48:00.0,64.47,27,,
2,366,386,sollicitudin ut suscipit,Health,Alexina,+1 337 279 2290,Open,Received the wrong product,Donec vitae nisi.,29:00.0,19:00.0,17.84,24,,
3,740,650,nulla tempus,Books,Bentley,+1 850 596 9804,Open,Other,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",49:00.0,48:00.0,34.97,7,,
4,102,719,augue,Computers,Costa,+1 803 813 5775,Open,Part missing,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",10:00.0,13:00.0,51.06,18,,
5,618,606,faucibus,Clothing,Grange,+1 760 397 8153,Open,Other,Phasellus in felis. Donec semper sapien a libero.,01:00.0,52:00.0,41.85,15,,
6,983,542,sit amet justo,Grocery & Gourmet Food,Tildie,+1 512 146 2676,Open,Info,Cras non velit nec nisi vulputate nonummy.,54:00.0,10:00.0,19.27,24,,
7,759,536,massa quis,Books,Clarissa,+1 615 718 8477,Open,Damaged product,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,03:00.0,10:00.0,62.12,36,,
8,169,886,mauris morbi non,Beauty & Personal Care,Berny,+1 229 347 4348,Open,Part missing,Cras pellentesque volutpat dui.,24:00.0,52:00.0,35.46,11,,
9,769,326,ut,Industrial & Scientific,Burton,+1 323 142 2694,Closed,Received the wrong product,Proin risus.,34:00.0,46:00.0,19.19,6,,
10,739,185,venenatis,Beauty & Personal Care,Boigie,+1 301 373 4420,Open,Part missing,Suspendisse ornare consequat lectus.,37:00.0,41:00.0,26.07,12,,
11,409,67,montes nascetur,Industrial & Scientific,Janene,+1 303 236 2541,Open,Info,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",57:00.0,47:00.0,15.84,25,,
12,142,288,amet diam in,Industrial & Scientific,Spence,+1 816 888 2422,Open,Part missing,Duis ac nibh.,58:00.0,47:00.0,57.81,6,,
13,670,445,nisi at,Toys & Games,Dyane,+1 612 284 7794,Open,Received the wrong product,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",45:00.0,06:00.0,59.36,41,,
14,41,898,interdum venenatis turpis,Appliances,Laurens,+1 512 916 5237,Open,Damaged product,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,36:00.0,14:00.0,4.63,7,,
15,920,385,porttitor id consequat,Shoes and Jewelry,Adora,+1 318 201 2599,Open,Different from product description,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,01:00.0,15:00.0,66.24,35,,
16,520,745,risus praesent,Clothing,Jordain,+1 770 235 5305,Open,Different from product description,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",43:00.0,48:00.0,36.07,40,,
